,r,delay,repetition,avgtime,congested,congested_ratio,f,informed
144,70,1,44,1.3228177315951408,False,False,1,1.0
145,70,1,45,1.3258884543438727,False,False,1,1.0
146,70,1,46,1.3229520896015907,False,False,1,1.0
147,70,1,47,1.322462596461289,False,False,1,1.0
148,70,1,48,1.3263493635083536,False,False,1,1.0
149,70,1,49,1.322841615734539,False,False,1,1.0
150,70,1,50,1.323876042530403,False,False,1,1.0
151,70,1,51,1.3255775916740677,False,False,1,1.0
152,70,1,52,1.3245526205963836,False,False,1,1.0
153,70,1,53,1.3211639080780746,False,False,1,1.0
154,70,1,54,1.3281723197116506,False,False,1,1.0
155,70,1,55,1.3236963188733788,False,False,1,1.0
156,70,1,56,1.3279592347189602,False,False,1,1.0
157,70,1,57,1.3286235421963746,False,False,1,1.0
158,70,1,58,1.3237251729512418,False,False,1,1.0
159,70,1,59,1.3233572361911818,False,False,1,1.0
160,70,1,60,1.3239828137747505,False,False,1,1.0
161,70,1,61,1.3267845083065326,False,False,1,1.0
162,70,1,62,1.3278571402832642,False,False,1,1.0
163,70,1,63,1.3177731037263056,False,False,1,1.0
164,70,1,64,1.3240483141499182,False,False,1,1.0
165,70,1,65,1.3330884465948782,False,False,1,1.0
166,70,1,66,1.3286499375920178,False,False,1,1.0
167,70,1,67,1.327751154460588,False,False,1,1.0
168,70,1,68,1.3249234545942372,False,False,1,1.0
169,70,1,69,1.3246221198396344,False,False,1,1.0
170,70,1,70,1.327966597558979,False,False,1,1.0
171,70,1,71,1.331035156061792,False,False,1,1.0
172,70,1,72,1.3313203297192773,False,False,1,1.0
173,70,1,73,1.3262956217354935,False,False,1,1.0
174,70,1,74,1.3255198841524214,False,False,1,1.0
175,70,1,75,1.3290310543441255,False,False,1,1.0
176,70,1,76,1.322932073533892,False,False,1,1.0
177,70,1,77,1.3237314010509516,False,False,1,1.0
178,70,1,78,1.3242143067738026,False,False,1,1.0
179,70,1,79,1.3232400792136594,False,False,1,1.0
180,70,1,80,1.3202390021728905,False,False,1,1.0
181,70,1,81,1.3308791342194166,False,False,1,1.0
182,70,1,82,1.324507451255939,False,False,1,1.0
183,70,1,83,1.3198022828170517,False,False,1,1.0
184,70,1,84,1.3311367031066512,False,False,1,1.0
185,70,1,85,1.3317970859421424,False,False,1,1.0
186,70,1,86,1.3264970223986965,False,False,1,1.0
187,70,1,87,1.32393506479979,False,False,1,1.0
188,70,1,88,1.3245830655398776,False,False,1,1.0
189,70,1,89,1.3268903541742465,False,False,1,1.0
190,70,1,90,1.328609340415923,False,False,1,1.0
191,70,1,91,1.3233547121335476,False,False,1,1.0
192,70,1,92,1.3262638978118302,False,False,1,1.0
193,70,1,93,1.3247579075895766,False,False,1,1.0
194,70,1,94,1.326546561134539,False,False,1,1.0
195,70,1,95,1.3297606315063033,False,False,1,1.0
196,70,1,96,1.3234583737767556,False,False,1,1.0
197,70,1,97,1.328999935943766,False,False,1,1.0
198,70,1,98,1.325071108973447,False,False,1,1.0
199,70,1,99,1.3231812919118855,False,False,1,1.0
200,70,2,0,1.3335469702821552,False,False,1,1.0
201,70,2,1,1.3289647947976941,False,False,1,1.0
202,70,2,2,1.3295189371041427,False,False,1,1.0
203,70,2,3,1.3285884643196921,False,False,1,1.0
204,70,2,4,1.3274898413710547,False,False,1,1.0
205,70,2,5,1.331749706428713,False,False,1,1.0
206,70,2,6,1.332436448240503,False,False,1,1.0
