r,delay,repetition,avgtime,congested,f
70,1,45,1.3280005951686717,False,1
70,1,46,1.3281612204847144,False,1
70,1,47,1.3285604815927756,False,1
70,1,48,1.3268185660255136,False,1
70,1,49,1.3242585078913323,False,1
70,1,50,1.3277256548413165,False,1
70,1,51,1.327095446428538,False,1
70,1,52,1.3271796892958239,False,1
70,1,53,1.3293865327720003,False,1
70,1,54,1.335168545214591,False,1
70,1,55,1.3277023450805565,False,1
70,1,56,1.3243195315807588,False,1
70,1,57,1.3242172026184487,False,1
70,1,58,1.3296450124418953,False,1
70,1,59,1.331025974206897,False,1
70,1,60,1.3283393697528272,False,1
70,1,61,1.3311659826232027,False,1
70,1,62,1.3293506817350345,False,1
70,1,63,1.3280754840625992,False,1
70,1,64,1.32930252820152,False,1
70,1,65,1.329755932525375,False,1
70,1,66,1.33114511930827,False,1
70,1,67,1.3224995120263106,False,1
70,1,68,1.3286687741069023,False,1
70,1,69,1.332234376082169,False,1
70,1,70,1.3285069635056048,False,1
70,1,71,1.3301819371368706,False,1
70,1,72,1.329788705463712,False,1
70,1,73,1.3236634530440392,False,1
70,1,74,1.3315338783390196,False,1
70,1,75,1.3289307168364792,False,1
70,1,76,1.3239579001739066,False,1
70,1,77,1.3326748883716895,False,1
70,1,78,1.3283538357896387,False,1
70,1,79,1.332667616596957,False,1
70,1,80,1.328166418485404,False,1
70,1,81,1.3230938713218243,False,1
70,1,82,1.3231288638440113,False,1
70,1,83,1.3262324833767025,False,1
70,1,84,1.3255681736229628,False,1
70,1,85,1.3273997100934112,False,1
70,1,86,1.3274928748606312,False,1
70,1,87,1.3274551961680319,False,1
70,1,88,1.3304115224923105,False,1
70,1,89,1.3295363288365096,False,1
70,1,90,1.3347383919506806,False,1
70,1,91,1.3341354360692403,False,1
70,1,92,1.325198604114635,False,1
70,1,93,1.3285879511211989,False,1
70,1,94,1.329085370911812,False,1
70,1,95,1.3271890854464057,False,1
70,1,96,1.3344824879989488,False,1
70,1,97,1.3294415464374563,False,1
70,1,98,1.318894328316161,False,1
70,1,99,1.3311212710377187,False,1
70,2,0,1.3325157760923396,False,1
70,2,1,1.3298948711219487,False,1
70,2,2,1.335313316850116,False,1
70,2,3,1.3337396390785712,False,1
70,2,4,1.3293617251038965,False,1
70,2,5,1.3256062250784948,False,1
70,2,6,1.321727778862879,False,1
70,2,7,1.32655297244853,False,1
70,2,8,1.3256884689204436,False,1
70,2,9,1.3315395256252909,False,1
70,2,10,1.323010453946491,False,1
70,2,11,1.3269902327165803,False,1
70,2,12,1.3298464561464707,False,1
70,2,13,1.3287279716476867,False,1
70,2,14,1.3257305936437296,False,1
70,2,15,1.3276857197727427,False,1
70,2,16,1.333077233451704,False,1
70,2,17,1.3233569172712185,False,1
70,2,18,1.3321919188983338,False,1
70,2,19,1.3335874600338007,False,1
70,2,20,1.3315276051734093,False,1
70,2,21,1.3327669577831716,False,1
70,2,22,1.328054494616249,False,1
70,2,23,1.3271618455488918,False,1
70,2,24,1.3311234452168528,False,1
70,2,25,1.327900840745317,False,1
70,2,26,1.3311609930101502,False,1
70,2,27,1.3255955227029381,False,1
70,2,28,1.3248785012391198,False,1
70,2,29,1.336389444065035,False,1
70,2,30,1.3295741614773904,False,1
70,2,31,1.3276222156498334,False,1
70,2,32,1.3290579780529528,False,1
70,2,33,1.3265908450432051,False,1
70,2,34,1.3294558379749926,False,1
70,2,35,1.3285814140973509,False,1
70,2,36,1.337501198886901,False,1
70,2,37,1.3245686482747905,False,1
70,2,38,1.3319188190889482,False,1
70,2,39,1.3259731056117487,False,1
70,2,40,1.3262832737522614,False,1
70,2,41,1.3352152934385784,False,1
70,2,42,1.3277876150986219,False,1
70,2,43,1.3359282160190062,False,1
70,2,44,1.3318272683766252,False,1
70,2,45,1.3283763948191396,False,1
70,2,46,1.32952894238915,False,1
70,2,47,1.3203226131748496,False,1
70,2,48,1.3329235167620659,False,1
70,2,49,1.3261069216450767,False,1
70,2,50,1.3283930768062981,False,1
70,2,51,1.3303823775935362,False,1
70,2,52,1.3207748284354188,False,1
70,2,53,1.3237684090475397,False,1
70,2,54,1.3223465547168245,False,1
70,2,55,1.3381003094568602,False,1
70,2,56,1.3270698857358958,False,1
70,2,57,1.3337687162626763,False,1
70,2,58,1.3314315900534168,False,1
70,2,59,1.32666363882997,False,1
70,2,60,1.325989112198849,False,1
70,2,61,1.3269034612399948,False,1
70,2,62,1.3289381636820983,False,1
70,2,63,1.3323724888932031,False,1
70,2,64,1.3283028818195342,False,1
70,2,65,1.327554111297288,False,1
70,2,66,1.3275478165005343,False,1
70,2,67,1.3305087919415248,False,1
70,2,68,1.3276256720617796,False,1
70,2,69,1.3291847157803043,False,1
70,2,70,1.325652974076707,False,1
70,2,71,1.330742679984542,False,1
70,2,72,1.3325996502017499,False,1
70,2,73,1.3306776613921543,False,1
70,2,74,1.3261763183637039,False,1
70,2,75,1.327127273690215,False,1
70,2,76,1.3253248855107669,False,1
70,2,77,1.3239593389689763,False,1
70,2,78,1.3248742194059178,False,1
70,2,79,1.3309858751704198,False,1
70,2,80,1.3309808001250074,False,1
70,2,81,1.3256230619074765,False,1
70,2,82,1.333565259752631,False,1
70,2,83,1.333124497715194,False,1
70,2,84,1.3306803727898584,False,1
70,2,85,1.3301114360019464,False,1
70,2,86,1.3312707863379947,False,1
70,2,87,1.3280053581230005,False,1
70,2,88,1.324619670293363,False,1
70,2,89,1.3306490989081412,False,1
70,2,90,1.335729925984808,False,1
70,2,91,1.3270133665070993,False,1
70,2,92,1.3334345102523932,False,1
70,2,93,1.3277390758040235,False,1
70,2,94,1.3263651022920908,False,1
70,2,95,1.3331943066431136,False,1
70,2,96,1.328640674521009,False,1
70,2,97,1.3307430833601905,False,1
70,2,98,1.3287699892141953,False,1
70,2,99,1.325716776392461,False,1
70,3,0,1.3332774788341988,False,1
70,3,1,1.3338914806764695,False,1
70,3,2,1.3309948035653922,False,1
70,3,3,1.330577207251968,False,1
70,3,4,1.3273305300068605,False,1
70,3,5,1.3297204536363252,False,1
70,3,6,1.3261917227826439,False,1
70,3,7,1.329172866304062,False,1
70,3,8,1.3251530706829122,False,1
70,3,9,1.3271316775820716,False,1
70,3,10,1.3223560124024203,False,1
70,3,11,1.3300389232562817,False,1
70,3,12,1.3293261874446483,False,1
70,3,13,1.3300511818199543,False,1
70,3,14,1.3306374937052614,False,1
70,3,15,1.325454876919433,False,1
70,3,16,1.3344809167450447,False,1
70,3,17,1.3251056648069897,False,1
70,3,18,1.3269486348669663,False,1
70,3,19,1.327595418817845,False,1
70,3,20,1.3286191630390256,False,1
70,3,21,1.324175098523895,False,1
70,3,22,1.329656723353756,False,1
70,3,23,1.3294473696683269,False,1
70,3,24,1.3229411352181502,False,1
70,3,25,1.3325668024466593,False,1
70,3,26,1.3299679428998512,False,1
70,3,27,1.326089281666189,False,1
70,3,28,1.327257663045162,False,1
70,3,29,1.3269631766043282,False,1
70,3,30,1.3264772657585042,False,1
70,3,31,1.3317982601376392,False,1
70,3,32,1.325669635966344,False,1
70,3,33,1.3292261537168966,False,1
70,3,34,1.3304907842864946,False,1
70,3,35,1.336892110837996,False,1
70,3,36,1.3254431293504425,False,1
70,3,37,1.3272118492118434,False,1
70,3,38,1.3245114535888582,False,1
70,3,39,1.3271534520350434,False,1
70,3,40,1.3283239438791783,False,1
70,3,41,1.3293830956278005,False,1
70,3,42,1.3302921828431318,False,1
70,3,43,1.3282562401539608,False,1
70,3,44,1.3270734949732212,False,1
70,3,45,1.3253291687650637,False,1
70,3,46,1.33294826813102,False,1
70,3,47,1.3294459012386464,False,1
70,3,48,1.3233680976107784,False,1
70,3,49,1.3307393857428231,False,1
70,3,50,1.3323965837706786,False,1
70,3,51,1.3331511119628716,False,1
70,3,52,1.3278221426914536,False,1
70,3,53,1.3307779040190166,False,1
70,3,54,1.322264168313138,False,1
70,3,55,1.3325144181714488,False,1
70,3,56,1.3290411252628676,False,1
70,3,57,1.335667775375838,False,1
70,3,58,1.3251002820188957,False,1
70,3,59,1.3260341389764216,False,1
70,3,60,1.3273065066159513,False,1
70,3,61,1.32825399755714,False,1
70,3,62,1.3314793393413067,False,1
70,3,63,1.323647256543597,False,1
70,3,64,1.3268422044988872,False,1
70,3,65,1.3327148954152348,False,1
70,3,66,1.330732097707547,False,1
70,3,67,1.330404818726806,False,1
70,3,68,1.329804710484666,False,1
70,3,69,1.331408872252095,False,1
70,3,70,1.329430102486853,False,1
70,3,71,1.3237488965996003,False,1
70,3,72,1.3305298255555953,False,1
70,3,73,1.334795156351322,False,1
70,3,74,1.3294862509750618,False,1
70,3,75,1.3305175907822562,False,1
70,3,76,1.3302729221447114,False,1
70,3,77,1.3318281278236412,False,1
70,3,78,1.328904388794727,False,1
